x_axis	b_count	g_count	r_count
0	1743977	1743971	1743971
1	1	0	0
2	0	0	0
3	1	0	0
4	3	0	0
5	1	0	0
6	2	0	0
7	0	0	0
8	3	0	0
9	1	0	0
10	2	0	0
11	2	0	0
12	0	0	0
13	6	0	0
14	1	0	0
15	4	0	0
16	2	0	0
17	3	0	0
18	2	0	0
19	5	2	0
20	2	0	0
21	7	2	0
22	1	0	0
23	3	1	0
24	2	0	0
25	3	1	0
26	6	0	0
27	6	0	0
28	5	1	0
29	9	0	0
30	3	0	0
31	5	1	0
32	4	1	0
33	9	2	0
34	7	2	0
35	5	2	0
36	6	1	0
37	12	2	0
38	12	2	0
39	12	2	0
40	11	2	0
41	16	2	0
42	7	3	0
43	10	2	0
44	10	1	0
45	13	1	0
46	17	6	0
47	18	6	0
48	9	6	0
49	13	7	0
50	19	2	0
51	16	2	0
52	17	5	0
53	12	5	0
54	14	3	0
55	14	8	0
56	10	1	0
57	16	3	0
58	22	2	0
59	10	6	0
60	16	5	0
61	14	3	0
62	22	1	1
63	19	3	0
64	13	2	0
65	15	1	1
66	31	6	0
67	18	4	1
68	20	5	0
69	22	3	1
70	20	3	1
71	23	8	0
72	26	2	0
73	32	1	0
74	29	6	0
75	26	5	0
76	26	2	1
77	34	8	2
78	23	1	0
79	27	2	3
80	40	5	0
81	27	7	0
82	38	6	0
83	42	6	2
84	62	7	2
85	46	7	1
86	40	10	2
87	50	6	3
88	69	4	4
89	56	2	3
90	78	10	3
91	68	10	3
92	85	9	4
93	100	17	2
94	98	8	7
95	85	8	4
96	111	15	1
97	116	12	6
98	102	12	0
99	105	14	6
100	138	15	4
101	107	11	6
102	143	8	3
103	153	14	6
104	172	9	4
105	197	23	4
106	195	17	2
107	216	24	2
108	211	16	4
109	248	14	0
110	270	16	3
111	306	25	2
112	338	20	3
113	350	22	6
114	383	23	6
115	425	18	9
116	456	22	4
117	495	18	4
118	542	28	13
119	640	25	8
120	646	28	8
121	748	28	7
122	821	27	12
123	890	34	7
124	986	37	6
125	1092	28	14
126	1202	29	11
127	1290	25	10
128	1301	34	17
129	1512	32	15
130	1566	28	12
131	1627	39	9
132	1770	34	12
133	1858	35	30
134	1861	28	16
135	1965	34	28
136	2029	31	26
137	2081	35	29
138	2210	41	37
139	2244	56	32
140	2415	38	33
141	2536	46	39
142	2758	50	28
143	3012	51	31
144	3164	51	39
145	3546	58	37
146	3646	63	25
147	3891	57	36
148	4168	62	33
149	4419	65	28
150	4680	96	31
151	5119	93	39
152	5428	113	41
153	5863	104	25
154	6227	107	23
155	6516	124	34
156	6680	129	30
157	6890	150	31
158	7068	165	38
159	7130	166	41
160	7167	222	38
161	7353	232	38
162	7277	221	34
163	7130	269	47
164	6965	282	62
165	6645	325	53
166	6267	373	59
167	6005	462	89
168	5559	448	64
169	5442	512	90
170	5341	516	108
171	4947	630	114
172	4531	667	136
173	4335	760	139
174	4048	819	148
175	3799	930	178
176	3545	979	196
177	3167	1031	257
178	2802	1181	268
179	2395	1249	358
180	2067	1368	407
181	1666	1437	441
182	1415	1521	530
183	1065	1643	578
184	867	1670	700
185	671	1850	776
186	502	2187	905
187	416	2364	988
188	303	2652	1133
189	238	2968	1167
190	170	3048	1359
191	150	3347	1466
192	111	3571	1499
193	89	3535	1508
194	84	3609	1563
195	88	3705	1642
196	63	3917	1679
197	66	4205	1985
198	68	4312	2133
199	82	4588	2381
200	42	4847	2626
201	49	5332	3055
202	54	5801	3260
203	63	6493	3613
204	48	7130	3871
205	60	7734	3941
206	39	8478	4013
207	41	9258	4105
208	49	9546	4305
209	44	9636	4539
210	42	9926	4791
211	40	9569	5227
212	54	9289	5750
213	50	9331	6423
214	49	8769	6953
215	50	8396	7677
216	45	7944	8336
217	32	7189	9028
218	23	6414	9640
219	38	5589	9996
220	29	4805	10152
221	35	3883	10097
222	28	3011	10019
223	38	2238	9869
224	28	1484	9691
225	35	1018	9420
226	43	638	9088
227	33	439	8162
228	33	295	7306
229	32	214	6250
230	30	178	4979
231	17	132	3918
232	21	114	2992
233	32	118	2096
234	25	88	1375
235	33	79	972
236	33	78	644
237	34	61	473
238	16	70	288
239	22	63	211
240	17	54	169
241	19	62	142
242	10	72	135
243	27	59	103
244	9	69	100
245	10	59	87
246	9	64	71
247	9	73	57
248	8	57	60
249	9	63	71
250	17	66	84
251	12	75	79
252	3	96	78
253	19	101	85
254	4	110	96
255	29	251	732
