x_axis	b_count	g_count	r_count
0	1743976	1743971	1743971
1	0	0	0
2	0	0	0
3	0	0	0
4	0	0	0
5	0	0	0
6	0	0	0
7	1	0	0
8	3	0	0
9	1	0	0
10	4	0	0
11	1	0	0
12	3	0	0
13	6	0	0
14	3	0	0
15	6	0	0
16	10	0	0
17	10	0	0
18	5	0	0
19	14	0	0
20	17	0	0
21	17	0	0
22	21	0	0
23	21	0	0
24	36	0	0
25	25	0	0
26	37	0	0
27	44	0	0
28	56	0	0
29	51	0	0
30	54	0	0
31	61	0	0
32	94	0	0
33	79	0	0
34	96	0	0
35	120	0	0
36	138	0	0
37	115	0	0
38	128	0	0
39	152	0	0
40	153	0	0
41	143	0	0
42	134	0	0
43	129	0	0
44	127	0	0
45	132	1	0
46	122	0	0
47	119	0	0
48	132	2	0
49	125	1	0
50	131	0	0
51	123	2	0
52	99	3	0
53	105	0	0
54	105	2	0
55	102	4	0
56	117	1	0
57	104	0	0
58	131	1	0
59	111	3	0
60	114	3	0
61	131	3	0
62	126	7	0
63	136	3	0
64	137	14	0
65	128	12	1
66	138	8	0
67	139	11	0
68	132	16	0
69	157	10	0
70	134	18	0
71	132	27	2
72	135	39	0
73	120	46	0
74	137	40	0
75	126	35	0
76	103	56	0
77	119	55	0
78	111	50	0
79	99	47	0
80	128	65	0
81	103	57	0
82	117	66	0
83	90	63	0
84	97	73	2
85	126	90	0
86	112	88	2
87	135	70	1
88	130	94	0
89	117	93	0
90	115	94	1
91	120	91	0
92	143	83	2
93	148	90	0
94	137	92	2
95	143	100	0
96	176	103	0
97	169	107	1
98	194	87	3
99	214	95	3
100	200	90	2
101	225	81	1
102	216	74	1
103	233	92	2
104	233	88	5
105	251	104	7
106	294	98	6
107	278	112	2
108	287	117	7
109	357	87	8
110	402	86	9
111	454	104	12
112	503	92	12
113	490	90	17
114	554	85	18
115	604	102	25
116	662	106	23
117	680	100	31
118	741	131	30
119	786	112	39
120	849	136	34
121	887	139	36
122	936	140	49
123	1011	107	40
124	1092	134	46
125	1129	110	38
126	1250	115	46
127	1292	106	48
128	1428	139	42
129	1479	122	43
130	1548	116	62
131	1690	119	57
132	1787	105	59
133	1966	115	82
134	2013	99	74
135	2218	112	70
136	2440	126	71
137	2597	108	77
138	2735	139	68
139	2942	108	85
140	3017	119	92
141	3113	120	85
142	3398	103	85
143	3468	110	79
144	3657	122	90
145	3859	119	83
146	3990	128	98
147	4027	133	112
148	4214	145	115
149	4399	129	96
150	4694	150	114
151	4811	144	119
152	5129	156	93
153	5107	192	133
154	5510	208	114
155	5712	195	132
156	5689	220	108
157	5797	234	141
158	5940	228	128
159	5926	252	146
160	5881	262	158
161	5961	297	145
162	5532	297	152
163	5484	304	147
164	5488	340	181
165	5323	356	176
166	5372	360	193
167	5120	431	189
168	5029	463	210
169	4926	410	212
170	4617	508	219
171	4210	522	228
172	3914	558	225
173	3674	530	261
174	3396	641	254
175	3184	721	258
176	2820	762	268
177	2462	877	278
178	2203	885	305
179	1984	958	351
180	1701	1083	410
181	1414	1191	376
182	1354	1206	451
183	1151	1263	433
184	1016	1400	514
185	886	1465	562
186	812	1552	578
187	651	1665	609
188	577	1833	682
189	514	1947	733
190	430	2120	780
191	372	2403	911
192	351	2652	957
193	278	2853	1028
194	272	3080	1069
195	239	3445	1139
196	251	3725	1308
197	220	4106	1385
198	229	4423	1522
199	214	4849	1547
200	201	5208	1771
201	187	5577	1905
202	161	6113	2037
203	192	6583	2254
204	175	6917	2528
205	164	7381	2684
206	174	7832	2845
207	177	8001	3169
208	181	8134	3617
209	150	8567	3873
210	174	8860	4315
211	149	8740	4883
212	163	8646	5403
213	131	8555	6031
214	131	8116	6573
215	147	7608	7226
216	143	7074	7762
217	136	6542	8423
218	131	6008	8648
219	128	5560	9098
220	148	5005	9647
221	134	4372	9810
222	109	3742	9960
223	132	3106	9960
224	118	2513	9784
225	145	2097	9464
226	124	1611	8691
227	123	1257	8007
228	125	984	7441
229	110	789	6747
230	115	607	6358
231	106	492	5568
232	79	339	4530
233	93	330	3565
234	105	321	3077
235	98	285	2445
236	100	287	1879
237	92	281	1453
238	91	271	1094
239	120	234	883
240	86	241	658
241	124	229	514
242	91	253	450
243	130	223	394
244	96	225	333
245	65	230	324
246	122	238	332
247	98	197	270
248	148	240	303
249	99	254	290
250	168	266	328
251	185	321	340
252	110	433	401
253	258	491	469
254	110	763	696
255	567	1707	3292
