x_axis	b_count	g_count	r_count
0	1743971	1743971	1743971
1	0	0	0
2	0	0	0
3	0	0	0
4	0	0	0
5	0	0	0
6	0	0	0
7	0	0	0
8	0	0	0
9	0	0	0
10	0	0	0
11	0	0	0
12	0	0	0
13	1	0	0
14	0	0	0
15	0	0	0
16	0	0	0
17	0	0	0
18	1	0	0
19	0	0	0
20	0	0	0
21	0	0	0
22	0	0	0
23	0	0	0
24	0	0	0
25	1	0	0
26	0	0	0
27	0	0	0
28	0	0	0
29	1	0	0
30	1	0	0
31	2	0	0
32	3	0	0
33	1	0	0
34	1	0	0
35	1	0	0
36	2	0	0
37	3	0	0
38	1	0	0
39	2	0	0
40	2	0	0
41	2	0	0
42	4	0	0
43	4	0	0
44	4	0	0
45	1	0	0
46	5	0	0
47	3	0	0
48	3	0	0
49	3	0	0
50	3	0	0
51	4	0	0
52	5	0	0
53	4	0	0
54	3	0	0
55	3	0	0
56	3	0	0
57	1	1	0
58	2	0	0
59	4	1	0
60	1	0	0
61	2	1	0
62	2	0	0
63	0	0	0
64	6	0	0
65	1	0	0
66	3	0	0
67	3	0	0
68	2	1	1
69	2	1	1
70	3	1	1
71	3	0	0
72	4	1	0
73	5	1	0
74	6	1	0
75	3	0	0
76	2	2	0
77	4	1	0
78	2	4	0
79	3	1	1
80	4	2	0
81	5	2	1
82	5	2	0
83	7	0	1
84	5	3	1
85	2	1	1
86	7	1	0
87	5	1	3
88	3	2	1
89	5	0	0
90	7	2	0
91	4	0	2
92	6	0	0
93	7	2	2
94	7	0	0
95	8	2	1
96	15	5	1
97	7	0	1
98	5	0	1
99	8	0	0
100	11	0	0
101	7	4	1
102	5	1	3
103	18	1	0
104	3	0	0
105	10	0	2
106	9	3	1
107	12	4	5
108	20	5	0
109	10	3	2
110	10	5	3
111	10	7	1
112	16	1	1
113	15	5	1
114	13	5	0
115	16	5	1
116	11	3	0
117	15	8	0
118	10	4	0
119	11	6	1
120	20	8	2
121	14	7	0
122	18	5	1
123	17	6	0
124	19	8	1
125	18	5	2
126	12	18	2
127	12	13	1
128	19	10	2
129	19	6	1
130	8	6	3
131	13	8	4
132	19	11	2
133	16	12	5
134	17	12	3
135	22	8	1
136	19	14	2
137	22	13	4
138	13	12	9
139	25	4	6
140	24	10	2
141	22	10	1
142	31	11	5
143	37	11	4
144	47	14	4
145	59	16	5
146	92	10	6
147	84	9	8
148	152	16	8
149	165	7	9
150	234	16	8
151	282	16	10
152	378	15	7
153	490	14	12
154	559	11	14
155	663	16	7
156	737	15	10
157	795	16	16
158	806	18	11
159	802	12	16
160	846	14	17
161	879	15	10
162	1031	9	14
163	1180	22	10
164	1385	14	18
165	1656	12	14
166	2080	17	23
167	2542	12	14
168	2981	13	13
169	3445	13	17
170	3702	12	18
171	3876	25	13
172	3889	15	19
173	3843	18	22
174	3865	22	14
175	4017	33	24
176	4124	40	20
177	4409	40	17
178	4953	57	21
179	5516	61	26
180	6194	84	36
181	7264	103	26
182	8104	136	44
183	9075	171	52
184	9523	259	70
185	10126	355	92
186	10615	461	103
187	10740	594	139
188	11160	770	207
189	11323	908	287
190	11490	1206	367
191	11128	1462	518
192	10420	1895	729
193	9543	2350	844
194	8392	2952	1072
195	7013	3548	1312
196	5792	4139	1611
197	4841	4290	2003
198	4134	4374	2433
199	3439	4443	3050
200	2847	4128	3729
201	2268	3917	3969
202	1907	3860	4412
203	1511	3987	4618
204	1087	4232	4540
205	773	4369	4385
206	484	4905	4414
207	313	5412	4594
208	214	5946	4713
209	137	6935	4950
210	73	8332	5442
211	41	9846	5918
212	23	11704	6699
213	16	13370	7587
214	14	14413	8881
215	14	15357	10504
216	16	15137	12445
217	9	14181	13874
218	6	12580	14512
219	8	10958	14980
220	7	9379	14512
221	8	7907	13715
222	11	6477	12212
223	9	5086	10414
224	5	3810	8698
225	8	2750	7345
226	7	1978	5976
227	11	1282	4703
228	9	747	3552
229	4	454	2617
230	8	251	1852
231	8	131	1206
232	7	94	757
233	7	46	487
234	5	25	312
235	7	17	175
236	9	16	109
237	11	14	58
238	6	12	30
239	8	6	29
240	3	15	28
241	7	13	15
242	4	13	19
243	5	9	14
244	3	14	10
245	0	9	10
246	0	5	9
247	0	8	11
248	1	8	9
249	2	9	14
250	0	9	5
251	1	11	13
252	0	18	6
253	0	11	9
254	0	11	12
255	0	34	69
