x_axis	b_count	g_count	r_count
0	1743974	1743971	1743971
1	0	0	0
2	1	0	0
3	0	0	0
4	0	0	0
5	1	0	0
6	0	0	0
7	0	0	0
8	0	0	0
9	0	0	0
10	0	0	0
11	0	0	0
12	1	0	0
13	0	0	0
14	0	0	0
15	0	0	0
16	1	0	0
17	1	1	0
18	0	0	0
19	0	0	0
20	0	1	0
21	0	1	0
22	0	0	0
23	2	1	0
24	0	0	0
25	0	0	0
26	0	1	0
27	2	0	0
28	0	0	0
29	0	0	0
30	0	0	0
31	0	0	0
32	0	0	1
33	2	1	0
34	0	0	0
35	3	1	1
36	1	0	1
37	1	0	0
38	1	0	1
39	0	0	0
40	1	0	0
41	1	0	1
42	0	1	0
43	0	0	0
44	0	0	0
45	2	0	0
46	0	0	0
47	1	1	0
48	1	1	2
49	0	1	0
50	0	0	0
51	4	1	0
52	0	0	0
53	3	0	0
54	1	0	0
55	1	0	1
56	2	0	0
57	0	0	0
58	1	0	0
59	2	2	0
60	1	0	0
61	1	1	1
62	0	0	0
63	4	1	1
64	2	0	0
65	2	1	0
66	2	1	0
67	0	2	0
68	5	1	0
69	3	0	0
70	5	0	0
71	2	0	1
72	4	1	0
73	8	1	0
74	4	1	2
75	6	1	1
76	4	0	0
77	4	3	0
78	4	1	0
79	5	2	0
80	5	1	0
81	3	2	0
82	8	0	1
83	4	4	0
84	6	1	1
85	3	2	2
86	5	2	2
87	2	5	1
88	4	4	0
89	4	1	0
90	7	4	2
91	6	4	0
92	8	2	2
93	6	1	1
94	4	4	3
95	10	1	3
96	2	2	1
97	6	1	1
98	3	2	3
99	8	5	2
100	8	4	4
101	9	6	1
102	7	4	4
103	3	7	1
104	9	4	1
105	9	4	3
106	4	3	4
107	11	4	4
108	10	2	3
109	9	7	4
110	5	8	2
111	7	6	3
112	13	7	5
113	13	5	2
114	10	4	5
115	19	7	4
116	11	6	4
117	10	3	1
118	10	7	4
119	12	7	6
120	15	5	4
121	17	5	7
122	19	6	4
123	7	9	6
124	15	3	2
125	23	3	2
126	24	9	5
127	22	13	6
128	29	5	3
129	25	9	5
130	35	7	9
131	45	15	6
132	51	12	9
133	48	10	5
134	53	3	7
135	80	12	6
136	104	11	9
137	121	15	11
138	129	11	10
139	145	16	9
140	212	19	11
141	257	17	6
142	311	24	12
143	404	18	22
144	489	26	9
145	580	19	12
146	731	34	8
147	804	24	11
148	892	29	16
149	1038	36	25
150	1130	42	21
151	1319	56	14
152	1356	37	23
153	1521	55	22
154	1686	62	33
155	1799	89	21
156	1996	84	45
157	2273	108	38
158	2593	97	42
159	3002	134	63
160	3488	173	54
161	3753	221	84
162	4313	284	109
163	4898	360	126
164	5288	389	168
165	5787	513	186
166	6213	617	232
167	6762	730	275
168	7445	912	370
169	8001	1030	448
170	8892	1198	587
171	9506	1394	688
172	10456	1607	869
173	11296	1695	1015
174	11906	1856	1216
175	11876	2193	1398
176	12257	2418	1601
177	11611	2755	1798
178	11332	3228	2133
179	10614	3671	2434
180	9745	4157	2963
181	9010	4765	3398
182	8019	5176	4126
183	7070	5688	4829
184	5960	6424	5515
185	4639	7062	6325
186	3594	7721	6975
187	2596	8468	7675
188	1915	9015	8313
189	1319	10095	9119
190	999	10748	9831
191	703	11379	10540
192	517	12056	11468
193	312	12930	12202
194	262	13368	13036
195	192	13225	13588
196	126	13269	13853
197	99	12545	13773
198	82	11599	13460
199	54	10119	12575
200	48	8398	10999
201	19	6718	9693
202	17	4918	7866
203	27	3477	6041
204	18	2350	4498
205	18	1532	3165
206	10	1023	2180
207	9	653	1484
208	12	433	936
209	5	298	613
210	11	217	416
211	9	112	295
212	7	104	208
213	9	56	122
214	2	40	79
215	11	36	60
216	12	29	46
217	5	18	42
218	9	17	27
219	9	21	16
220	4	18	16
221	7	13	17
222	8	1	16
223	6	14	20
224	4	8	12
225	6	7	5
226	4	6	11
227	7	5	8
228	9	8	14
229	9	9	6
230	9	7	12
231	7	12	9
232	7	6	12
233	10	11	6
234	13	5	7
235	6	5	7
236	5	9	8
237	9	12	8
238	9	12	12
239	9	5	9
240	7	7	3
241	6	11	10
242	5	5	9
243	6	10	11
244	10	7	11
245	11	7	8
246	15	11	6
247	23	9	6
248	35	13	13
249	31	13	17
250	52	26	21
251	90	38	22
252	41	46	43
253	121	65	65
254	30	114	104
255	169	342	385
